_id,content,participantIdeaId,title,participantId,prolificPid,conditionId,creativity
669fbf1735bf07f926d470b2,"i would imagine a train station to be included with a lift for the disabled and a platform, and a backery. The train station should also have a roof.",669fbec735bf07f926d470b1,train traffic,669fbebf35bf07f926d470b0,111,8,-0.5015823442632039
669fbfc735bf07f926d470b6,"i would imagine a train station to be included with a lift for the disabled and a platform, and a backery. The train station should also have a roof. The train station is made of glass.",669fbec735bf07f926d470b1,train traffic,669fbebf35bf07f926d470b0,111,8,-0.8024138393070901
66a7716201d73252c27079ab,have red and green light and some rails and  trains. some of the trains only carry cargos and the rest carry peoples. many electric wires above the train to make them be able to move.,66a76f6f01d73252c27079a8,Train traffic,66a76f5c01d73252c27079a7,000,5,-0.9869927528210137
66a771d001d73252c27079b3,"have red and green light and some rails and  trains. some of the trains only carry cargos and the rest carry peoples. many electric wires above the train to make them be able to move. trains carry cargos and peoples, they are very efficient.",66a76f6f01d73252c27079a8,Train traffic,66a76f5c01d73252c27079a7,000,5,-1.610143292479175
66a771f601d73252c27079b6,"there's red and green light and some rails and  trains. some of the trains only carry cargos and the rest carry peoples. many electric wires above the train to make them be able to move. trains carry cargos and peoples, they are very efficient.",66a76f6f01d73252c27079a8,Train traffic,66a76f5c01d73252c27079a7,000,5,-1.2722044740153335
66a77db201d73252c27079c0,"Every 4 sit place has a table that should have a touchscreen tablet built into it and various board games preloaded, so that the 4 passengers can conveniently access them during the ride.",66a77cb801d73252c27079bf,Built-in Entertainemnt,66a77c7f01d73252c27079be,AR,8,0.06924467909043708
66a77f2e01d73252c27079c5,"Every 4 sit place has a table that should be equipped with a built-in touchscreen tablet and various board&card games preloaded, so that the 4 passengers can conveniently access them during the ride. The innovation would foster social engagement and entertainment during the journey. This would result in more people using public transport and in lower polution from commute.",66a77cb801d73252c27079bf,Built-in Entertainemnt,66a77c7f01d73252c27079be,AR,8,-0.1375656081173299
66a95dcd53cfd527c23e6136,Hydrogen tgv. Comfortable chair such as massaging chair in first class. Two ailes of chair on both sides,66a95da253cfd527c23e6135,hydrogen tgv,66a95a4d53cfd527c23e611b,Leda,2,1.4454943091403736
66a95df153cfd527c23e6139,Hydrogen tgv. Comfortable chair such as massaging chair in first class. Two ailes of chair on both sides. Can you add luggages storage,66a95da253cfd527c23e6135,hydrogen tgv,66a95a4d53cfd527c23e611b,Leda,2,1.415013763662724
66a95e1953cfd527c23e613c,Hydrogen tgv. Comfortable chair such as massaging chair in first class. Two ailes of chair on both sides. Can you add luggages storage. can you add woodsy tones,66a95da253cfd527c23e6135,hydrogen tgv,66a95a4d53cfd527c23e611b,Leda,2,1.05123263411941
66a95e5453cfd527c23e613f,Hydrogen tgv. Comfortable chair such as massaging chair in first class. Two ailes of chair on both sides. Can you add luggages storage. can you add brown colour in the train. and dont forget baggage storage,66a95da253cfd527c23e6135,hydrogen tgv,66a95a4d53cfd527c23e611b,Leda,2,0.8134052667701324
66a95e8753cfd527c23e6142,Hydrogen tgv. Comfortable chair such as massaging chair in first class. Two ailes of chair on both sides. Can you add luggages storage. can you add brown and green colour in the train. and dont forget baggage storage.,66a95da253cfd527c23e6135,hydrogen tgv,66a95a4d53cfd527c23e611b,Leda,2,0.727347941423635
66aa9f3353cfd527c23e6158,"To avoid traffic, increase aviation transportation which lowers train demand and hence train traffic.",66aa9efa53cfd527c23e6157,Flying Train,66aa9eed53cfd527c23e6156,PS,5,-1.5860763062680998
66aa9fd653cfd527c23e615b,"An alternative idea could be using enhance railways that would enable trains to drive faster and lower resistance, e.g. using magnetic roads where the train float. In addition, an enhanced scheduling system can be implemented. This enables more efficient allocation of the train and avoids congestions that carry on afterwards.",66aa9efa53cfd527c23e6157,Flying Train,66aa9eed53cfd527c23e6156,PS,5,-0.488869772721136
66b35c5a53cfd527c23e77cf,"If the trains are crowded and cannot really be made bigger, the best strategy might be to just distract people from the annoying circumstances. This could be done with TV screens.",66b35bf853cfd527c23e77cd,TV Entertainment,66b35bc553cfd527c23e77cc,excuseme?,2,-1.395499457888513
